key_resp.keys,key_resp.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,volstandard,voldeviant,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,RegStandardPitch,RegDeviantPitch,key_resp_5.keys,key_resp_5.rt,RegAudSequence,diff-reg,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_7.keys,key_resp_7.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,standard,devient,key_resp_6.keys,key_resp_6.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_10.keys,key_resp_10.rt
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/15-ms_2_2_1_3_3_1_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/15d-ms_2_2_1_3_1_3_unit270.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,3,1.3631,0,3,3,5,1,RegPatterns/15-ms_2_2_1_3_3_1_unit270.mp3,RegPatterns/15d-ms_2_2_1_3_1_3_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/06-ms_4_3_1_2_2_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/06d-ms_4_1_3_2_2_unit270.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/06-ms_4_3_1_2_2_unit270.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,2,0.314,0,4,4,1,1,RegPatterns/06-ms_4_3_1_2_2_unit270.mp3,RegPatterns/06d-ms_4_1_3_2_2_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/07-ms_1_1_2_3_1_4_unit230.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/07-ms_1_1_2_3_1_4_unit230.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/07d-ms_1_1_2_1_3_4_unit230.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,3,1.2671,0,5,5,2,1,RegPatterns/07-ms_1_1_2_3_1_4_unit230.mp3,RegPatterns/07d-ms_1_1_2_1_3_4_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/21-ms_2_1_1_3_1_1_3_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/21d-ms_2_1_1_3_1_3_1_unit270.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/21-ms_2_1_1_3_1_1_3_unit270.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,2,5.7158,0,6,6,7,1,RegPatterns/21-ms_2_1_1_3_1_1_3_unit270.mp3,RegPatterns/21d-ms_2_1_1_3_1_3_1_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/04d-ms_4_3_1_3_1_unit230.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/04-ms_4_1_3_3_1_unit230.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/04-ms_4_1_3_3_1_unit230.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,3,4.0908,0,7,7,0,1,RegPatterns/04-ms_4_1_3_3_1_unit230.mp3,RegPatterns/04d-ms_4_3_1_3_1_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/11-ms_2_2_3_1_1_3_unit250.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/11-ms_2_2_3_1_1_3_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/11d-ms_2_2_3_1_3_1_unit250.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,3,0.302,0,8,8,3,1,RegPatterns/11-ms_2_2_3_1_1_3_unit250.mp3,RegPatterns/11d-ms_2_2_3_1_3_1_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/24-ms_4_2_2_1_1_1_1_unit230.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/24d-ms_4_2_1_1_2_1_1_unit230.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/24-ms_4_2_2_1_1_1_1_unit230.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,2,0.1854,0,9,9,9,1,RegPatterns/24-ms_4_2_2_1_1_1_1_unit230.mp3,RegPatterns/24d-ms_4_2_1_1_2_1_1_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/27-ms_1_1_2_3_1_1_3_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/27d-ms_1_1_2_3_1_3_1_unit270.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/27-ms_1_1_2_3_1_1_3_unit270.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,1,0.5427,0,10,10,10,1,RegPatterns/27-ms_1_1_2_3_1_1_3_unit270.mp3,RegPatterns/27d-ms_1_1_2_3_1_3_1_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/23-ms_4_1_1_1_1_3_1_unit250.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/23d-ms_4_1_1_1_1_1_3_unit250.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/23-ms_4_1_1_1_1_3_1_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,RegPatterns/Noise.mp3,RegPatterns/Noise.mp3,,,,,,,,,,2,0.3138,,,,,,,,g,0.4089,0,0,0,0,1,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,0,11,11,8,1,RegPatterns/23-ms_4_1_1_1_1_3_1_unit250.mp3,RegPatterns/23d-ms_4_1_1_1_1_1_3_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/06d-ms_4_1_3_2_2_unit270.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/06-ms_4_3_1_2_2_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/06-ms_4_3_1_2_2_unit270.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,1,1.2445,1,0,12,1,1,RegPatterns/06-ms_4_3_1_2_2_unit270.mp3,RegPatterns/06d-ms_4_1_3_2_2_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/27-ms_1_1_2_3_1_1_3_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/27-ms_1_1_2_3_1_1_3_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/27d-ms_1_1_2_3_1_3_1_unit270.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,3,0.3209,1,1,13,10,1,RegPatterns/27-ms_1_1_2_3_1_1_3_unit270.mp3,RegPatterns/27d-ms_1_1_2_3_1_3_1_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/24-ms_4_2_2_1_1_1_1_unit230.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/24-ms_4_2_2_1_1_1_1_unit230.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/24d-ms_4_2_1_1_2_1_1_unit230.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,3,0.4203,1,2,14,9,1,RegPatterns/24-ms_4_2_2_1_1_1_1_unit230.mp3,RegPatterns/24d-ms_4_2_1_1_2_1_1_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/23-ms_4_1_1_1_1_3_1_unit250.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/23-ms_4_1_1_1_1_3_1_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/23d-ms_4_1_1_1_1_1_3_unit250.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,1,0.7582,1,3,15,8,1,RegPatterns/23-ms_4_1_1_1_1_3_1_unit250.mp3,RegPatterns/23d-ms_4_1_1_1_1_1_3_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/15d-ms_2_2_1_3_1_3_unit270.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/15-ms_2_2_1_3_3_1_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/15-ms_2_2_1_3_3_1_unit270.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,1,0.2591,1,4,16,5,1,RegPatterns/15-ms_2_2_1_3_3_1_unit270.mp3,RegPatterns/15d-ms_2_2_1_3_1_3_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/04-ms_4_1_3_3_1_unit230.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/04d-ms_4_3_1_3_1_unit230.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/04-ms_4_1_3_3_1_unit230.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,3,1.5428,1,5,17,0,1,RegPatterns/04-ms_4_1_3_3_1_unit230.mp3,RegPatterns/04d-ms_4_3_1_3_1_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/28-ms_2_2_1_1_1_1_4_unit250.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/28d-ms_2_1_1_2_1_1_4_unit250.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/28-ms_2_2_1_1_1_1_4_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,1,3.6039,1,6,18,11,1,RegPatterns/28-ms_2_2_1_1_1_1_4_unit250.mp3,RegPatterns/28d-ms_2_1_1_2_1_1_4_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/17d-ms_4_1_1_2_1_3_unit250.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/17-ms_4_1_1_2_3_1_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/17-ms_4_1_1_2_3_1_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,2,1.9435,1,7,19,6,1,RegPatterns/17-ms_4_1_1_2_3_1_unit250.mp3,RegPatterns/17d-ms_4_1_1_2_1_3_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/21d-ms_2_1_1_3_1_3_1_unit270.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/21-ms_2_1_1_3_1_1_3_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,RegPatterns/21-ms_2_1_1_3_1_1_3_unit270.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train53_audtrain1,2024-01-25_11h01.43.795,AudTraining1,2021.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,3,3.0641,1,8,20,7,1,RegPatterns/21-ms_2_1_1_3_1_1_3_unit270.mp3,RegPatterns/21d-ms_2_1_1_3_1_3_1_unit270.mp3,,,,,,,,,
